id,category
0,4
1,0
2,0
3,3
4,0
5,4
6,2
7,3
8,1
9,4
10,3
11,2
12,4
13,0
14,3
15,4
16,0
17,1
18,4
19,3
20,4
21,1
22,4
23,2
24,1
25,3
26,0
27,1
28,0
29,0
30,4
31,4
32,3
33,0
34,1
35,0
36,4
37,3
38,0
39,4
40,3
41,1
42,2
43,0
44,1
45,1
46,0
47,4
48,4
49,3
50,1
51,0
52,0
53,2
54,1
55,0
56,1
57,4
58,3
59,3
60,2
61,0
62,1
63,1
64,2
65,1
66,4
67,1
68,3
69,2
70,0
71,3
72,3
73,0
74,4
75,0
76,1
77,1
78,2
79,3
80,4
81,1
82,0
83,4
84,2
85,4
86,1
87,4
88,0
89,3
90,2
91,4
92,4
93,3
94,4
95,2
96,3
97,4
98,0
99,2
100,2
101,0
102,4
103,1
104,0
105,1
106,2
107,1
108,1
109,3
110,3
111,1
112,3
113,0
114,0
115,2
116,0
117,0
118,4
119,4
120,0
121,1
122,3
123,1
124,1
125,1
126,2
127,0
128,2
129,2
130,3
131,4
132,0
133,4
134,3
135,1
136,0
137,3
138,3
139,3
140,2
141,0
142,3
143,1
144,1
145,2
146,0
147,2
148,2
149,2
150,2
151,3
152,1
153,2
154,2
155,2
156,2
157,3
158,2
159,4
160,0
161,2
162,3
163,2
164,1
165,2
166,1
167,3
168,2
169,1
170,1
171,1
172,3
173,4
174,0
175,4
176,1
177,0
178,2
179,4
180,2
181,0
182,4
183,1
184,0
185,4
186,4
187,0
188,0
189,1
190,0
191,3
192,3
193,3
194,1
195,4
196,3
197,3
198,0
199,4
200,3
201,4
202,1
203,3
204,2
205,3
206,0
207,2
208,3
209,4
210,4
211,0
212,2
213,1
214,4
215,4
216,3
217,1
218,1
219,4
220,3
221,3
222,3
223,4
224,4
225,3
226,3
227,1
228,2
229,4
230,4
231,2
232,3
233,2
234,3
235,3
236,3
237,0
238,0
239,3
240,4
241,3
242,3
243,4
244,1
245,1
246,2
247,0
248,1
249,4
250,0
251,2
252,1
253,2
254,3
255,0
256,4
257,1
258,3
259,0
260,4
261,3
262,4
263,4
264,1
265,0
266,4
267,1
268,4
269,1
270,4
